	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C4	C5	O1_1	O2	O3	O4	O5	O6	O7	O8	P1	P2	P3	P4	P5	P6	P7	P8	P9	R1	R2	R3	R4	R6	R7	R8	S1	S2	S3	S4
B1	0	0.2513069808483124	0.1904736906290054	0.4427960515022278	0.2422272115945816	0.249167412519455	0.2569376826286316	0.2586874663829803	0.3024917244911194	0.6774435639381409	0.6614933609962463	0.6580419540405273	0.7297812104225159	0.2341502606868744	0.2351395189762115	0.2727861702442169	0.2701621055603027	0.3239033818244934	0.7222727537155151	0.3633723556995392	0.2424260675907135	0.7048729658126831	0.6734747886657715	0.6826107501983643	0.3763193488121033	0.6781973838806152	0.68059903383255	0.6649078130722046	0.6662102341651917	0.6581413745880127	0.6808776259422302	0.6642836332321167	0.7037050724029541	0.6593742966651917	0.6686750054359436	0.6803176403045654	0.6959448456764221	0.295141190290451	0.2489467263221741	0.2382043600082397	0.2502701282501221
B2	0.2513069808483124	0	0.2224189937114716	0.4540615081787109	0.2239386439323425	0.2802290320396423	0.304646372795105	0.2560973763465881	0.294916182756424	0.6317154765129089	0.6133171319961548	0.6169182062149048	0.6827999949455261	0.2485736459493637	0.2752631008625031	0.252530574798584	0.3134512007236481	0.3648272156715393	0.6769706606864929	0.3160686194896698	0.2453593462705612	0.6601520776748657	0.6339747905731201	0.6372547745704651	0.3648734092712402	0.6405141353607178	0.632735013961792	0.6253968477249146	0.6235911250114441	0.6215620636940002	0.6315916776657104	0.6163565516471863	0.6545498967170715	0.6175196170806885	0.6228579878807068	0.633090078830719	0.6528967618942261	0.234046146273613	0.2188045978546143	0.2678833603858948	0.2152732312679291
B3	0.1904736906290054	0.2224189937114716	0	0.4201045036315918	0.2076653689146042	0.2189583629369736	0.2317199409008026	0.1979991644620895	0.2867706716060638	0.6423004269599915	0.6289172768592834	0.6230435371398926	0.6782467365264893	0.232377901673317	0.2204980254173279	0.2375019043684006	0.2548481523990631	0.3036871254444122	0.6780637502670288	0.3445115983486176	0.2110761702060699	0.6580184102058411	0.6390084624290466	0.6392185091972351	0.3501931130886078	0.6499161720275879	0.646176815032959	0.6295323371887207	0.6350889205932617	0.6301369667053223	0.6332661509513855	0.6268813014030457	0.664605438709259	0.6268532872200012	0.6331698298454285	0.6413201689720154	0.6629909873008728	0.2837377488613129	0.2380243241786957	0.2513529062271118	0.2404862344264984
B4	0.4427960515022278	0.4540615081787109	0.4201045036315918	0	0.4634271562099457	0.4493422210216522	0.3960949778556824	0.4527942538261414	0.4615594744682312	0.7574970722198486	0.7521775364875793	0.7488053441047668	0.7981823682785034	0.4406145215034485	0.4236113429069519	0.4723692536354065	0.4225396513938904	0.3607676029205322	0.8067467212677002	0.5158234834671021	0.4652888774871826	0.7838294506072998	0.7547394633293152	0.7623425126075745	0.4823891222476959	0.7657759785652161	0.7590340375900269	0.7521030902862549	0.7496290802955627	0.7464805245399475	0.7575965523719788	0.7411206960678101	0.7759466767311096	0.7466734647750854	0.7523136734962463	0.7569007873535156	0.7709653377532959	0.52166748046875	0.465884804725647	0.4011068344116211	0.4858346283435822
B5	0.2422272115945816	0.2239386439323425	0.2076653689146042	0.4634271562099457	0	0.2465656995773315	0.2684209048748016	0.2449636310338974	0.2868299186229706	0.6550754904747009	0.6340157985687256	0.6364011168479919	0.6996151804924011	0.2197770029306412	0.2576972842216492	0.2521732151508331	0.2969567775726318	0.3412697613239288	0.7010862231254578	0.3585925400257111	0.2308164089918137	0.6860598921775818	0.6498129963874817	0.652737557888031	0.3598610460758209	0.6616239547729492	0.6574708819389343	0.6380544900894165	0.650262713432312	0.6420069336891174	0.6453832387924194	0.6373884081840515	0.6739442348480225	0.6366750001907349	0.6459284424781799	0.6514755487442017	0.6771594285964966	0.2730387449264526	0.2166878283023834	0.28257817029953	0.2479048520326614
B6	0.249167412519455	0.2802290320396423	0.2189583629369736	0.4493422210216522	0.2465656995773315	0	0.2663836181163788	0.2508208155632019	0.2895137369632721	0.6668682098388672	0.6483212113380432	0.6500234007835388	0.7153465747833252	0.2612920999526978	0.2291359901428223	0.2933079600334167	0.2575876712799072	0.3281064331531525	0.717714250087738	0.3767916262149811	0.2238741964101791	0.6991961598396301	0.6643427610397339	0.6711270809173584	0.3577017784118652	0.6758586168289185	0.6693961024284363	0.6505130529403687	0.6608247756958008	0.6514154076576233	0.6675275564193726	0.6496261954307556	0.6833728551864624	0.6525512337684631	0.6587080955505371	0.6651404500007629	0.6858437657356262	0.3478976488113403	0.2573538720607758	0.3088202178478241	0.2873457968235016
B7	0.2569376826286316	0.304646372795105	0.2317199409008026	0.3960949778556824	0.2684209048748016	0.2663836181163788	0	0.2710547149181366	0.3226484954357147	0.7005735635757446	0.6864574551582336	0.6811068058013916	0.7497184276580811	0.269128680229187	0.2623087763786316	0.3256491720676422	0.2741644382476807	0.3015835881233215	0.7541449069976807	0.3968286216259003	0.2818667590618134	0.7261250615119934	0.6927371025085449	0.7024545073509216	0.3902913630008698	0.7033750414848328	0.7010987401008606	0.6844459176063538	0.6881774067878723	0.6778652667999268	0.6993050575256348	0.6800757050514221	0.7242608666419983	0.6772286891937256	0.6923706531524658	0.6955298781394958	0.7176735401153564	0.337383896112442	0.2917924225330353	0.2039686888456345	0.3101830780506134
B8	0.2586874663829803	0.2560973763465881	0.1979991644620895	0.4527942538261414	0.2449636310338974	0.2508208155632019	0.2710547149181366	0	0.2471293956041336	0.646843433380127	0.6007726192474365	0.6187292337417603	0.6435832977294922	0.2632172107696533	0.2548772096633911	0.2243719846010208	0.2254770249128342	0.2853288054466248	0.6410701274871826	0.3144031167030334	0.2140454798936844	0.6585920453071594	0.611819863319397	0.6113930344581604	0.3155209422111511	0.6469082832336426	0.6186519861221313	0.607265830039978	0.6261817216873169	0.6302898526191711	0.6066581010818481	0.6038858294487	0.6324425339698792	0.5973805785179138	0.6072927117347717	0.6276868581771851	0.6601978540420532	0.3383070230484009	0.2395550161600113	0.2976609766483307	0.2784073054790497
B9	0.3024917244911194	0.294916182756424	0.2867706716060638	0.4615594744682312	0.2868299186229706	0.2895137369632721	0.3226484954357147	0.2471293956041336	0	0.6578094959259033	0.6084831953048706	0.6252367496490479	0.6196154356002808	0.2759814858436584	0.2785342335700989	0.2466091066598892	0.2149292081594467	0.2601641714572906	0.6560338735580444	0.2771197855472565	0.2451947927474976	0.6969930529594421	0.5983394980430603	0.6251075267791748	0.257752001285553	0.6551417112350464	0.6173950433731079	0.5898362994194031	0.6357364058494568	0.6349956393241882	0.615161657333374	0.6134560704231262	0.6267232894897461	0.6036415100097656	0.6076452136039734	0.6374943852424622	0.6704809665679932	0.3699668645858765	0.2466395944356918	0.3362958133220673	0.3276520073413849
C1	0.6774435639381409	0.6317154765129089	0.6423004269599915	0.7574970722198486	0.6550754904747009	0.6668682098388672	0.7005735635757446	0.646843433380127	0.6578094959259033	0	0.2071086019277573	0.1659171432256699	0.3108600676059723	0.6739712953567505	0.6613084673881531	0.6261278986930847	0.674144446849823	0.6911656260490417	0.2865642309188843	0.6279206871986389	0.6515838503837585	0.2109646797180176	0.2340661436319351	0.1637049466371536	0.6283973455429077	0.1523942500352859	0.1766629219055176	0.2778564095497131	0.1686505973339081	0.1778771132230759	0.1867949962615967	0.1790696531534195	0.2624269127845764	0.2005775719881058	0.2115218192338943	0.141048938035965	0.1828504651784897	0.6865348219871521	0.6355785727500916	0.6896388530731201	0.6573439836502075
C2	0.6614933609962463	0.6133171319961548	0.6289172768592834	0.7521775364875793	0.6340157985687256	0.6483212113380432	0.6864574551582336	0.6007726192474365	0.6084831953048706	0.2071086019277573	0	0.1742397993803024	0.3103970885276794	0.6599333882331848	0.646507203578949	0.5879223346710205	0.6259889602661133	0.649827778339386	0.2813906669616699	0.5844084620475769	0.6172654032707214	0.2675519287586212	0.2091463506221771	0.1677286773920059	0.5925272703170776	0.2094413340091705	0.1574429571628571	0.2494463175535202	0.1812913864850998	0.2153205722570419	0.1773575246334076	0.1973129063844681	0.2295231074094772	0.1618562638759613	0.2064303308725357	0.1750045120716095	0.2351085096597672	0.670792818069458	0.5960653424263	0.6757063269615173	0.6400438547134399
C4	0.6580419540405273	0.6169182062149048	0.6230435371398926	0.7488053441047668	0.6364011168479919	0.6500234007835388	0.6811068058013916	0.6187292337417603	0.6252367496490479	0.1659171432256699	0.1742397993803024	0	0.2893761992454529	0.6541634202003479	0.6402928233146667	0.6001351475715637	0.6437864303588867	0.6623066663742065	0.2737124264240265	0.603502094745636	0.6210219860076904	0.2088892459869385	0.2146597355604172	0.1881556212902069	0.6160736083984375	0.1591834276914597	0.1737378835678101	0.2712324857711792	0.1806830763816833	0.1723612546920776	0.1937183439731598	0.180984228849411	0.2490576952695847	0.1822845190763474	0.2255751937627792	0.1618141680955887	0.1828073412179947	0.6673710346221924	0.6059696078300476	0.6791723966598511	0.6367213129997253
C5	0.7297812104225159	0.6827999949455261	0.6782467365264893	0.7981823682785034	0.6996151804924011	0.7153465747833252	0.7497184276580811	0.6435832977294922	0.6196154356002808	0.3108600676059723	0.3103970885276794	0.2893761992454529	0	0.7234464287757874	0.7086926698684692	0.6128489375114441	0.6749508380889893	0.659027099609375	0.2975431084632874	0.6149120926856995	0.6814536452293396	0.319827139377594	0.2535513937473297	0.2853822410106659	0.5967872142791748	0.30931356549263	0.2689233720302582	0.371161937713623	0.3165201544761658	0.3307889103889465	0.257502943277359	0.2888530492782593	0.2314238399267197	0.2989535629749298	0.3217149376869202	0.2928255796432495	0.3002202808856964	0.7406663298606873	0.6594278216362	0.7367917895317078	0.7082353830337524
O1_1	0.2341502606868744	0.2485736459493637	0.232377901673317	0.4406145215034485	0.2197770029306412	0.2612920999526978	0.269128680229187	0.2632172107696533	0.2759814858436584	0.6739712953567505	0.6599333882331848	0.6541634202003479	0.7234464287757874	0	0.2451162040233612	0.2730574905872345	0.2496465593576431	0.3226777315139771	0.7218989729881287	0.3487797379493713	0.2452009618282318	0.7100139856338501	0.6675010323524475	0.674784779548645	0.3575234413146973	0.6751406192779541	0.6753165125846863	0.6524646878242493	0.6604772806167603	0.6527902483940125	0.6729937791824341	0.6533422470092773	0.6948211193084717	0.6509853601455688	0.6650789380073547	0.6726838350296021	0.6903911828994751	0.3045766949653625	0.2258780896663666	0.2695169448852539	0.2624838948249817
O2	0.2351395189762115	0.2752631008625031	0.2204980254173279	0.4236113429069519	0.2576972842216492	0.2291359901428223	0.2623087763786316	0.2548772096633911	0.2785342335700989	0.6613084673881531	0.646507203578949	0.6402928233146667	0.7086926698684692	0.2451162040233612	0	0.2870090007781982	0.2420493811368942	0.2979733049869537	0.7087876796722412	0.3597894906997681	0.2353151440620422	0.6945368051528931	0.6536647081375122	0.6651340126991272	0.3568750023841858	0.665644109249115	0.6621871590614319	0.6368171572685242	0.6477517485618591	0.6395217180252075	0.6601132154464722	0.6440898776054382	0.6783244609832764	0.6405231952667236	0.6489242911338806	0.6577603220939636	0.6779642701148987	0.3642479479312897	0.2721066474914551	0.2835241258144379	0.2940032780170441
O3	0.2727861702442169	0.252530574798584	0.2375019043684006	0.4723692536354065	0.2521732151508331	0.2933079600334167	0.3256491720676422	0.2243719846010208	0.2466091066598892	0.6261278986930847	0.5879223346710205	0.6001351475715637	0.6128489375114441	0.2730574905872345	0.2870090007781982	0	0.2805554866790771	0.2957808375358582	0.6328120827674866	0.290689617395401	0.2369717806577682	0.6565159559249878	0.5981038212776184	0.5937248468399048	0.3329688012599945	0.6212560534477234	0.5969353318214417	0.5984178185462952	0.6066855788230896	0.6179045438766479	0.5862079262733459	0.5889452695846558	0.6148660182952881	0.5815884470939636	0.5877116918563843	0.611075758934021	0.6398768424987793	0.3243893682956696	0.2326477617025375	0.304038405418396	0.2810942828655243
O4	0.2701621055603027	0.3134512007236481	0.2548481523990631	0.4225396513938904	0.2969567775726318	0.2575876712799072	0.2741644382476807	0.2254770249128342	0.2149292081594467	0.674144446849823	0.6259889602661133	0.6437864303588867	0.6749508380889893	0.2496465593576431	0.2420493811368942	0.2805554866790771	0	0.2516909539699554	0.6790514588356018	0.3154381513595581	0.2398838102817535	0.7124603390693665	0.6296228170394897	0.643663763999939	0.2876532971858978	0.671939492225647	0.6402338147163391	0.6227219700813293	0.6564382314682007	0.6563942432403564	0.6391890645027161	0.6355433464050293	0.6539716720581055	0.6250365972518921	0.6298099160194397	0.6553508639335632	0.6872921586036682	0.3904144763946533	0.2725549936294556	0.3185552358627319	0.3315249681472778
O5	0.3239033818244934	0.3648272156715393	0.3036871254444122	0.3607676029205322	0.3412697613239288	0.3281064331531525	0.3015835881233215	0.2853288054466248	0.2601641714572906	0.6911656260490417	0.649827778339386	0.6623066663742065	0.659027099609375	0.3226777315139771	0.2979733049869537	0.2957808375358582	0.2516909539699554	0	0.695732057094574	0.3468653857707977	0.3102489411830902	0.7307482957839966	0.6392526030540466	0.6630910634994507	0.3369552493095398	0.6898765563964844	0.6560542583465576	0.6319220066070557	0.670148491859436	0.6749804615974426	0.6585798859596252	0.6533668637275696	0.663953959941864	0.6428351998329163	0.6431205272674561	0.6725512742996216	0.7036253213882446	0.4270093142986298	0.3205942809581757	0.3264107406139374	0.3821323215961456
O6	0.7222727537155151	0.6769706606864929	0.6780637502670288	0.8067467212677002	0.7010862231254578	0.717714250087738	0.7541449069976807	0.6410701274871826	0.6560338735580444	0.2865642309188843	0.2813906669616699	0.2737124264240265	0.2975431084632874	0.7218989729881287	0.7087876796722412	0.6328120827674866	0.6790514588356018	0.695732057094574	0	0.636346161365509	0.6820974946022034	0.2922777533531189	0.295991837978363	0.254719078540802	0.623120903968811	0.2813783288002014	0.2449845969676971	0.3518443405628204	0.2913102209568024	0.2967371642589569	0.2524363398551941	0.2646384537220001	0.2865893542766571	0.2716497778892517	0.2963365614414215	0.2654434740543365	0.2797247767448425	0.7400879263877869	0.6712080836296082	0.734067976474762	0.704224169254303
O7	0.3633723556995392	0.3160686194896698	0.3445115983486176	0.5158234834671021	0.3585925400257111	0.3767916262149811	0.3968286216259003	0.3144031167030334	0.2771197855472565	0.6279206871986389	0.5844084620475769	0.603502094745636	0.6149120926856995	0.3487797379493713	0.3597894906997681	0.290689617395401	0.3154381513595581	0.3468653857707977	0.636346161365509	0	0.329811692237854	0.6675970554351807	0.5876741409301758	0.5985965132713318	0.3508976697921753	0.6263197660446167	0.5937573909759521	0.5973819494247437	0.6085715889930725	0.6201447248458862	0.5923895239830017	0.5856710076332092	0.600511908531189	0.5767938494682312	0.5814679861068726	0.6110309958457947	0.6401611566543579	0.3725982010364532	0.3084553778171539	0.3793528378009796	0.3435378074645996
